Designator,Mid X,Mid Y,Layer,Rotation
C1,58.5mm,61.5mm,Bottom,0
C2,58.5mm,45mm,Bottom,180
C3,58.5mm,53mm,Bottom,0
C4,58.5mm,36mm,Bottom,0
C5,58.5mm,27mm,Bottom,0
J1,78mm,51mm,Bottom,-90
J2,85.725mm,51.785mm,Bottom,-90
J3,95.99mm,54.61mm,Bottom,180
R1,64mm,27mm,Bottom,0
R2,64mm,36mm,Bottom,0
R3,64mm,31mm,Bottom,0
U4,93.345mm,48.26mm,Bottom,0
U5,82.55mm,40.64mm,Bottom,180
U6,96.901mm,60.96mm,Bottom,180
BT2,41.025mm,43.815mm,Top,0
C4,103.251mm,39.243mm,Top,0
C5,94.224mm,39.243mm,Top,0
C6,63.5mm,48.895mm,Top,90
R4,142mm,64mm,Top,180
R5,150mm,64mm,Top,180
R6,123mm,64mm,Top,180
R7,117mm,64mm,Top,0
R8,220mm,64.5mm,Top,180
R9,202mm,64mm,Top,180
R10,191mm,64mm,Top,180
R11,196mm,64mm,Top,0
SW4,84.189mm,33.49975mm,Top,90
SW5,92.776999mm,33.49975mm,Top,90
SW6,101.364998mm,33.49975mm,Top,90
U1,66.5mm,25.8mm,Top,0
U2,135mm,35mm,Top,-90
U3,205mm,35mm,Top,-90
